"ORIG","DEST","DISTANCE","TYPE"
"U52026","U12199",6.74674610378395,"ALL"
"U78207","U58704",8.90227463093661,"ALL"
"U51930","U77811",5.49850671041774,"ALL"
"U86966","U24992",6.98204380762136,"ALL"
"U02454","U44050",6.75681001653851,"ALL"
"U10730","U21926",7.63237971334407,"ALL"
"U69052","U29000",5.55425683953699,"ALL"
"U99355","U39721",4.9068271167424,"ALL"
"U50197","U77447",5.75059724138489,"ALL"
"U10386","U42152",5.56973458267943,"ALL"
"U59367","U90050",5.89351967701579,"ALL"
"U04784","U96568",4.23729843908651,"ALL"
"U38045","U87168",4.83418775376439,"ALL"
"U85744","U33024",4.85230382819343,"ALL"
"U79722","U40951",4.6172214148114,"ALL"
"U22092","U86948",7.24130830123523,"ALL"
"U53562","U80710",6.22259132639084,"ALL"
"U49574","U86258",3.58053441486005,"ALL"
"U86948","U81818",4.86835319621999,"ALL"
"U71739","U06978",4.18904910327323,"ALL"
"U34816","U97801",5.64731629381252,"ALL"
"U40722","U67133",6.01496764712639,"ALL"
"U91385","U43524",9.52382181503296,"ALL"
"U05433","U24883",6.88024022988224,"ALL"
"U51200","U46695",4.91976544927565,"ALL"
"U70185","U79019",6.15662786846527,"ICB"
"U34667","U65316",7.20769788364932,"ICB"
"U88279","U87221",5.57944835964715,"ICB"
"U76349","U93843",7.7255566279125,"ICB"
"U34146","U63844",8.19893024315503,"ICB"
"U29000","U98432",5.63225546872866,"ICB"
"U36779","U38045",6.13281158465689,"ICB"
"U37316","U27086",11.3130422044095,"ICB"
"U62360","U81960",6.84072235861298,"ICB"
"U90673","U52997",6.73234541978404,"ICB"
"U53963","U05001",5.52089599745834,"ICB"
"U11602","U76801",5.72457019529448,"ICB"
"U49145","U11614",7.56971905320958,"ICB"
"U62043","U69901",8.0741132586607,"ICB"
"U02275","U38271",6.9557374581738,"ICB"
"U71897","U89762",5.65409452608526,"ICB"
"U81818","U88414",5.11737317830583,"ICB"
"U98004","U07605",6.32318682368427,"ICB"
"U12199","U98974",3.9726839658094,"ICB"
"U17849","U89141",8.90264088027309,"ICB"
"U46417","U31390",4.20665753398058,"ICB"
"U91471","U73163",6.81917870861123,"ICB"
"U25587","U82305",7.48623418994075,"ICB"
"U03551","U77447",4.27993269600736,"ICB"
"U28174","U25707",5.74940674483291,"ICB"
"U80019","U51636",7.18389595241839,"REGION"
"U90656","U36134",5.65766263704092,"REGION"
"U72156","U33522",4.13381928036571,"REGION"
"U65316","U05517",5.91188991486896,"REGION"
"U85644","U22020",5.18080720038829,"REGION"
"U71643","U02275",8.10506651207084,"REGION"
"U83511","U28178",5.22806435607844,"REGION"
"U67475","U72129",5.88041802033745,"REGION"
"U18460","U49525",9.32398408617063,"REGION"
"U14074","U59622",4.64579074026827,"REGION"
"U48026","U38661",7.88870376769052,"REGION"
"U37593","U85067",6.34389711146509,"REGION"
"U43660","U82305",4.47903078635047,"REGION"
"U85986","U94009",6.51619885961585,"REGION"
"U60757","U04748",14.1661226140479,"REGION"
"U29596","U00760",5.99237293411206,"REGION"
"U38328","U80335",5.29195254989466,"REGION"
"U79408","U16428",6.25434222823583,"REGION"
"U92125","U32901",12.9278911627631,"REGION"
"U87499","U63948",4.85191845626137,"REGION"
"U52868","U25255",7.7094526197194,"REGION"
"U24972","U26996",14.3753623134298,"REGION"
"U24190","U53230",14.2959367328918,"REGION"
"U77447","U24998",5.42691338876646,"REGION"
"U43067","U93843",6.49016346203443,"REGION"
