FIELD_NAME,DESCRIPTION,SHORT_DESC,GROUP,TYPE
PCN_CODE,PCN Code,PCN Code,Organisation,FCT
PCN_NAME,PCN Name,PCN Name,Organisation,FCT
ICB_CODE,ICB Code,ICB Code,Organisation,FCT
ICB_NAME,ICB Name,ICB Name,Organisation,FCT
NHSER_CODE,NHSE Region Code,NHSE Region Code,Organisation,FCT
NHSER_NAME,NHSE Region Name,NHSE Region Name,Organisation,FCT
PCN_POSTCODE,PCN Postcode,PCN Postcode,Organisation,FCT
LSOA21CD,PCN LSOA21CD,PCN LSOA21CD,Organisation,FCT
ICB23CD,PCN ICB ONS Code,PCN ICB ONS Code,Organisation,FCT
EASTING,PCN Easting,PCN Easting,Organisation,GEO
NORTHING,PCN Northing,PCN Northing,Organisation,GEO
LAT,PCN Latitude,PCN Latitude,Organisation,GEO
LNG,PCN Longitude,PCN Longitude,Organisation,GEO
Q1_FEMALE,Lower Quartile Age (Females),Lower Quartile Age (Females),Demographics,DBL
Q1_MALE,Lower Quartile Age (Males),Lower Quartile Age (Males),Demographics,DBL
Q1_PERSONS,Lower Quartile Age (Persons),Lower Quartile Age (Persons),Demographics,DBL
MEDIAN_FEMALE,Median Quartile Age (Females),Median Quartile Age (Females),Demographics,DBL
MEDIAN_MALE,Median Quartile Age (Males),Median Quartile Age (Males),Demographics,DBL
MEDIAN_PERSONS,Median Quartile Age (Persons),Median Quartile Age (Persons),Demographics,DBL
Q3_FEMALE,Upper Quartile Age (Females),Upper Quartile Age (Females),Demographics,DBL
Q3_MALE,Upper Quartile Age (Males),Upper Quartile Age (Males),Demographics,DBL
Q3_PERSONS,Upper Quartile Age (Persons),Upper Quartile Age (Persons),Demographics,DBL
IQR_FEMALE,Interquartile Range Age (Females),Interquartile Range Age (Females),Demographics,DBL
IQR_MALE,Interquartile Range Age (Males),Interquartile Range Age (Males),Demographics,DBL
IQR_PERSONS,Interquartile Range Age (Persons),Interquartile Range Age (Persons),Demographics,DBL
POPN_FEMALE,Population Size (Females),Population Size (Females),Demographics,DBL
POPN_MALE,Population Size (Males),Population Size (Males),Demographics,DBL
POPN_PERSONS,Population Size (Persons),Population Size (Persons),Demographics,DBL
ETHNICITY_ASIAN_WEIGHTED_PCT,Ethnicity % Asian,Ethnicity % Asian,Demographics,PCT
ETHNICITY_BLACK_WEIGHTED_PCT,Ethnicity % Black,Ethnicity % Black,Demographics,PCT
ETHNICITY_MIXED_WEIGHTED_PCT,Ethnicity % Mixed,Ethnicity % Mixed,Demographics,PCT
ETHNICITY_WHITE_WEIGHTED_PCT,Ethnicity % White,Ethnicity % White,Demographics,PCT
ETHNICITY_OTHER_WEIGHTED_PCT,Ethnicity % Other,Ethnicity % Other,Demographics,PCT
POPN_PER_SQ_KM_WEIGHTED,Population Density (Persons per Km2),Population Density (Persons per Km2),Demographics,DBL
IMD_SCORE_WEIGHTED,Overall Score,Overall Score,IMD Domains and Subdomains,DBL
INCOME_SCORE_WEIGHTED,Income Score,Income Score,IMD Domains and Subdomains,DBL
EMPLOYMENT_SCORE_WEIGHTED,Employment Score,Employment Score,IMD Domains and Subdomains,DBL
EDUCATION_SCORE_WEIGHTED,Education Score,Education Score,IMD Domains and Subdomains,DBL
HEALTH_SCORE_WEIGHTED,Health Score,Health Score,IMD Domains and Subdomains,DBL
CRIME_SCORE_WEIGHTED,Crime Score,Crime Score,IMD Domains and Subdomains,DBL
BARRIERS_SCORE_WEIGHTED,Barriers to Housing and Services Score,Barriers to Housing and Services Score,IMD Domains and Subdomains,DBL
ENVIRONMENT_SCORE_WEIGHTED,Living Environment Score,Living Environment Score,IMD Domains and Subdomains,DBL
INCOME_IDACI_SCORE_WEIGHTED,Income IDACI Subdomain Score,IDACI Score,IMD Domains and Subdomains,DBL
INCOME_IDAOPI_SCORE_WEIGHTED,Income IDAOPI Subdomain Score,IDAOPI Score,IMD Domains and Subdomains,DBL
EDUCATION_CYP_SCORE_WEIGHTED,Eduation CYP Subdomain Score,Education CYP Score,IMD Domains and Subdomains,DBL
EDUCATION_ADULT_SCORE_WEIGHTED,Eduation Adults Subdomain Score,Education Adults Score,IMD Domains and Subdomains,DBL
BARRIERS_GEOGRAPHICAL_SCORE_WEIGHTED,Barriers Geographical Barriers Subdomain Score,Geographical Barriers Score,IMD Domains and Subdomains,DBL
BARRIERS_WIDER_SCORE_WEIGHTED,Barriers Wider Barriers Subdomain Score,Wider Barriers Score,IMD Domains and Subdomains,DBL
ENVIRONMENT_INDOOR_SCORE_WEIGHTED,Living Environment Indoor Subdomain Score,Environment Indoor Score,IMD Domains and Subdomains,DBL
ENVIRONMENT_OUTDOOR_SCORE_WEIGHTED,Living Environment Outdoor Subdomain Score,Environment Outdoor Score,IMD Domains and Subdomains,DBL
INCOME_NUMERATOR_WEIGHTED,Income Numerator,Income Numerator,IMD Underlying Indicators,DBL
IDACI_NUMERATOR_WEIGHTED,IDACI Numerator,IDACI Numerator,IMD Underlying Indicators,DBL
IDAOPI_NUMERATOR_WEIGHTED,IDAOPI Numerator,IDAOPI Numerator,IMD Underlying Indicators,DBL
EMPLOYMENT_NUMERATOR_WEIGHTED,Employment Numerator,Employment Numerator,IMD Underlying Indicators,DBL
EDUCATION_ADULT_LANGUAGE_PROFICIENCY_WEIGHTED,Education Adult Language Proficiency,Adult Language,IMD Underlying Indicators,DBL
EDUCATION_CYP_HIGHER_EDUCATION_ENTRY_WEIGHTED,Education CYP Higher Education Entry,CYP Higher Education,IMD Underlying Indicators,DBL
HEALTH_ACUTE_MORBIDITY_WEIGHTED,Health Acute Morbidity,Acute Morbidity,IMD Underlying Indicators,DBL
HEALTH_ILLNESS_AND_DISABILITY_RATIO_WEIGHTED,Health Illness and Disability Ratio,Illness and Disability Ratio,IMD Underlying Indicators,DBL
HEALTH_MENTAL_HEALTH_WEIGHTED,Health Mental Health,Mental Health,IMD Underlying Indicators,DBL
HEALTH_YLL_WEIGHTED,Health Years of Life Lost,Years of Life Lost,IMD Underlying Indicators,DBL
CRIME_VIOLENCE_WITH_INJURY_WEIGHTED,Crime Violence with Injury,Violence with Injury,IMD Underlying Indicators,DBL
CRIME_VIOLENCE_WITHOUT_INJURY_WEIGHTED,Crime Violence without Injury,Violence without Injury,IMD Underlying Indicators,DBL
CRIME_STALKING_HARASSMENT_WEIGHTED,Crime Stalking and Harassment,Stalking and Harrassment,IMD Underlying Indicators,DBL
CRIME_BURGLARY_WEIGHTED,Crime Burglary,Burglary,IMD Underlying Indicators,DBL
CRIME_THEFT_WEIGHTED,Crime Theft,Theft,IMD Underlying Indicators,DBL
CRIME_CRIMINAL_DAMAGE_WEIGHTED,Crime Criminal Damage,Criminal Damage,IMD Underlying Indicators,DBL
CRIME_PUBLIC_ORDER_WEIGHTED,Crime Public Order,Public Order,IMD Underlying Indicators,DBL
